ACCOUNT,DAY_OPENED,Y_PRED
16605,20170307,
16606,20181017,
16607,20180613,
16608,20170629,
16609,20160708,
16610,20160408,
16611,20190617,
16612,20170714,
16613,20190712,
16614,20190826,
16615,20170816,
16616,20190422,
16617,20190426,
16618,20190925,
16619,20181009,
16620,20190724,
16621,20190713,
16622,20190605,
16623,20171011,
16624,20190615,
16625,20181009,
16626,20190510,
16627,20190516,
16628,20170220,
16629,20170421,
16630,20190927,
16631,20170415,
16632,20190426,
16633,20200102,
16634,20181023,
16635,20190903,
16636,20171017,
16637,20170629,
16638,20170527,
16639,20160718,
16640,20161223,
16641,20180726,
16642,20181211,
16643,20161130,
16644,20190730,
16645,20160715,
16646,20160516,
16647,20160615,
16648,20190313,
16649,20190723,
16650,20160818,
16651,20190614,
16652,20161214,
16653,20170420,
16654,20190708,
16655,20190422,
16656,20170413,
16657,20190505,
16658,20180903,
16659,20190605,
16660,20190120,
16661,20190724,
16662,20190520,
16663,20180620,
16664,20180921,
16665,20161010,
16666,20190416,
16667,20161104,
16668,20180920,
16669,20190815,
16670,20190807,
16671,20181022,
16672,20190711,
16673,20190330,
16674,20160617,
16675,20171221,
16676,20190523,
16677,20171107,
16678,20190705,
16679,20180705,
16680,20190616,
16681,20191225,
16682,20160811,
16683,20190822,
16684,20190808,
16685,20190424,
16686,20191108,
16687,20190809,
16688,20180625,
16689,20170628,
16690,20190128,
16691,20200116,
16692,20171102,
16693,20190723,
16694,20171030,
16695,20170629,
16696,20190104,
16697,20181015,
16698,20180611,
16699,20180613,
16700,20190528,
16701,20180201,
16702,20191014,
16703,20190709,
16704,20191128,
16705,20160222,
16706,20190711,
16707,20160926,
16708,20180711,
16709,20170825,
16710,20160728,
16711,20191023,
16712,20190506,
16713,20181228,
16714,20190430,
16715,20190329,
16716,20190125,
16717,20190510,
16718,20190728,
16719,20190722,
16720,20190926,
16721,20190517,
16722,20151208,
16723,20190321,
16724,20160810,
16725,20180428,
16726,20190828,
16727,20180412,
16728,20160816,
16729,20181107,
16730,20171009,
16731,20181107,
16732,20160918,
16733,20190929,
